Amendment_type,Original Accuracy (%),System Prompt Accuracy (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
"relation:close
original",66.87,62.63,-4.24,2.069,Large,1.51,0.0482,Yes,0.1085,No,qwen-32-sys-prompt,medqa,Normal
"relation:hierarchical_down
original",65.93,65.32,-0.60,0.293,Medium,1.06,0.8454,No,0.8454,No,qwen-32-sys-prompt,medqa,Normal
"relation:hierarchical_up
original",66.13,63.71,-2.42,1.294,Large,1.32,0.2354,No,0.3026,No,qwen-32-sys-prompt,medqa,Normal
"stake:high
original",64.79,61.37,-3.42,1.628,Large,1.37,0.1250,No,0.2250,No,qwen-32-sys-prompt,medqa,Normal
"stake:low
original",69.49,67.47,-2.02,1.078,Large,1.26,0.3318,No,0.3733,No,qwen-32-sys-prompt,medqa,Normal
"unmodified
original_combined",66.26,63.43,-2.83,1.510,Large,1.39,0.1606,No,0.2409,No,qwen-32-sys-prompt,medqa,Normal
"emotion:anger
original",79.00,78.60,-0.40,0.324,Medium,1.11,0.8714,No,0.8714,No,qwen-32-sys-prompt,trivia,Normal
"emotion:happy
original",79.00,78.40,-0.60,0.507,Large,1.19,0.7359,No,0.8279,No,qwen-32-sys-prompt,trivia,Normal
"emotion:sad
original",79.00,77.40,-1.60,1.461,Large,1.73,0.2005,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"relation:close
original",80.80,79.80,-1.00,0.870,Large,1.36,0.4869,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"relation:hierarchical_down
original",78.36,79.16,0.80,0.686,Large,0.79,0.6076,No,0.7812,No,qwen-32-sys-prompt,trivia,Normal
"relation:hierarchical_up
original",78.20,81.60,3.40,2.959,Large,0.32,0.0046,Yes,0.0410,Yes,qwen-32-sys-prompt,trivia,Normal
"stake:high
original",78.96,77.56,-1.40,1.043,Large,1.37,0.3713,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"stake:low
original",80.80,79.40,-1.40,1.183,Large,1.50,0.3105,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"unmodified
original_combined",80.60,79.40,-1.20,0.973,Large,1.38,0.4177,No,0.7303,No,qwen-32-sys-prompt,trivia,Normal
"emotion:anger
original",78.38,72.53,-5.86,3.305,Large,2.21,0.0013,Yes,0.0014,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"emotion:happy
original",83.88,75.71,-8.16,4.924,Large,4.08,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"emotion:sad
original",81.02,73.88,-7.14,3.796,Large,2.40,0.0002,Yes,0.0003,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"relation:close
original",78.48,72.78,-5.70,3.160,Large,2.17,0.0021,Yes,0.0021,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"relation:hierarchical_down
original",83.84,75.05,-8.79,4.900,Large,3.53,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"relation:hierarchical_up
original",82.07,74.89,-7.17,3.952,Large,2.70,0.0001,Yes,0.0002,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"stake:high
original",78.62,72.10,-6.52,3.451,Large,2.19,0.0007,Yes,0.0009,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"stake:low
original",84.49,76.33,-8.16,4.588,Large,3.22,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Normal
"unmodified
original_combined",85.01,75.98,-9.03,4.801,Large,3.20,0.0000,Yes,0.0000,Yes,qwen-32-sys-prompt,truthfulqa,Normal
